图书编号,图书名称,图书出版社,图书价格,图书作者,图书类别,图书库存数量
2011,《计算机网络》,清华大学出版社,79.99,谢希仁,计算机,110
2012,《算法导论》,机械工业出版社,99.99,Thomas H. Cormen,计算机,130
2013,《数据库系统概念》,人民邮电出版社,69.99,Abraham Silberschatz,计算机,90
2014,《C语言程序设计》,机械工业出版社,49.99,Brian W. Kernighan,计算机,120
2015,《高等数学》,清华大学出版社,29.99,同济大学数学系,数学,150
2016,《线性代数》,高等教育出版社,39.99,Howard Anton,数学,100
2017,《微积分》,清华大学出版社,59.99,同济大学数学系,数学,120
2018,《物理学概论》,科学出版社,45.99,David Halliday,物理,80
2019,《化学原理》,高等教育出版社,49.99,Peter Atkins,化学,100
2020,《生物学导论》,人民邮电出版社,35.99,Neil A. Campbell,生物,110
