图书编号,图书名称,图书出版社,图书价格,图书作者,图书类别,图书库存数量
1001,《Java编程思想》,机械工业出版社,89.99,Bruce Eckel,计算机,100
1002,《Python基础教程》,人民邮电出版社,59.99,Magnus Lie Hetland,计算机,150
1003,《三体》,重庆出版社,39.99,刘慈欣,科幻,80
1004,《活着》,作家出版社,29.99,余华,文学,120
1005,《人间失格》,新世界出版社,25.99,太宰治,文学,90
1006,《白夜行》,南方出版社,49.99,东野圭吾,悬疑,110
1007,《解忧杂货店》,中信出版社,36.99,东野圭吾,小说,100
1008,《活着为了讲述》,作家出版社,45.99,余华,传记,70
1009,《挪威的森林》,上海译文出版社,32.99,村上春树,小说,85
1010,《哈利·波特与魔法石》,人民文学出版社,49.99,J.K.罗琳,奇幻,95
1011,《计算机网络》,清华大学出版社,79.99,谢希仁,计算机,110
1012,《算法导论》,机械工业出版社,99.99,Thomas H. Cormen,计算机,130
1013,《数据库系统概念》,人民邮电出版社,69.99,Abraham Silberschatz,计算机,90
1014,《C语言程序设计》,机械工业出版社,49.99,Brian W. Kernighan,计算机,120
1015,《高等数学》,清华大学出版社,29.99,同济大学数学系,数学,150
1016,《线性代数》,高等教育出版社,39.99,Howard Anton,数学,100
1017,《微积分》,清华大学出版社,59.99,同济大学数学系,数学,120
1018,《物理学概论》,科学出版社,45.99,David Halliday,物理,80
1019,《化学原理》,高等教育出版社,49.99,Peter Atkins,化学,100
1020,《生物学导论》,人民邮电出版社,35.99,Neil A. Campbell,生物,110
1032,《活着》,作家出版社,29.99,余华,小说,120
1033,《人间失格》,新世界出版社,25.99,太宰治,小说,90
1034,《白夜行》,南方出版社,49.99,东野圭吾,小说,110
1035,《解忧杂货店》,中信出版社,36.99,东野圭吾,小说,80
1036,《活着为了讲述》,作家出版社,45.99,余华,小说,100
1037,《挪威的森林》,上海译文出版社,32.99,村上春树,小说,70
1038,《围城》,人民文学出版社,24.99,钱钟书,小说,120
1039,《红楼梦》,人民文学出版社,39.99,曹雪芹,小说,90
1040,《三体》,重庆出版社,39.99,刘慈欣,科幻,110
1041,《小时代》,长江文艺出版社,29.99,郭敬明,小说,80
1042,《悲伤逆流成河》,北京十月文艺出版社,28.99,郭敬明,小说,100
1043,《梦里花落知多少》,北京联合出版公司,32.99,辛夷坞,小说,70
1044,《朝花夕拾》,北京十月文艺出版社,26.99,鲁迅,散文,120
1045,《平凡的世界》,人民文学出版社,29.99,路遥,小说,90
1046,《围脖》,北京十月文艺出版社,33.99,严歌苓,小说,110
1047,《撒哈拉的故事》,北京十月文艺出版社,35.99,三毛,散文,80
1048,《1988：我想和这个世界谈谈》,湖南文艺出版社,24.99,韩寒,散文,100
1049,《围城》,人民文学出版社,29.99,钱钟书,小说,70
1050,《雾都孤儿》,人民文学出版社,19.99,狄更斯,小说,120
1051,《荆棘鸟》,人民文学出版社,22.99,哈珀·李,小说,90
1052,《乌合之众》,上海人民出版社,18.99,勒庞,社会学,110
1053,《平凡的世界》,人民文学出版社,29.99,路遥,小说,120
1054,《目送》,北京十月文艺出版社,25.99,龙应台,散文,90
1055,《废都》,作家出版社,33.99,曹文轩,小说,110
1056,《撒哈拉的故事》,北京十月文艺出版社,25.99,三毛,散文,80
1057,《傅雷家书》,生活·读书·新知三联书店,21.99,傅雷,书信,100
1058,《中国历代政治得失》,中央编译出版社,31.99,吴晗,政治,70
1059,《中国哲学史》,商务印书馆,27.99,冯友兰,哲学,120
1060,《明朝那些事儿》,湖南人民出版社,23.99,当年明月,历史,90
1061,《遇见未知的自己》,上海人民出版社,28.99,杨绛,散文,110
1062,《遥远的救世主》,商务印书馆,32.99,韩寒,小说,80
1063,《人类简史》,炎黄春秋出版社,35.99,尤瓦尔·赫拉利,历史,100
1064,《围城》,人民文学出版社,29.99,钱钟书,小说,120
1065,《傅雷家书》,生活·读书·新知三联书店,21.99,傅雷,书信,90
1066,《沉默的大多数》,广西师范大学出版社,25.99,王小波,散文,110
1067,《山楂树之恋》,花城出版社,31.99,艾米,小说,80
1068,《大江大河》,人民文学出版社,35.99,阿耐,小说,100
1069,《盗墓笔记》,广西师范大学出版社,29.99,南派三叔,小说,120
1070,《心理学与生活》,中国人民大学出版社,23.99,理查德·格里格,心理学,90
1071,《夏洛的网》,北京日报出版社,28.99,E.B.怀特,儿童文学,110
1072,《看见》,四川文艺出版社,32.99,柴静,纪实,80
1073,《寻找失去的时光》,湖南文艺出版社,35.99,马伯庸,小说,100
1074,《疯狂Java讲义》,电子工业出版社,39.99,李刚,计算机,120
1075,《Python编程从入门到实践》,人民邮电出版社,43.99,Eric Matthes,计算机,90
1076,《零基础学Python》,清华大学出版社,29.99,何川,计算机,110
1077,《活着》,作家出版社,29.99,余华,小说,80
1078,《人间失格》,新世界出版社,25.99,太宰治,小说,100
1079,《白夜行》,南方出版社,49.99,东野圭吾,小说,120
1080,《解忧杂货店》,中信出版社,36.99,东野圭吾,小说,90
1081,《活着为了讲述》,作家出版社,45.99,余华,小说,110
1082,《春物》,小学馆,22.22,渡航,轻小说,50
2011,《计算机网络》,清华大学出版社,79.99,谢希仁,计算机,110
2012,《算法导论》,机械工业出版社,99.99,Thomas H. Cormen,计算机,130
2013,《数据库系统概念》,人民邮电出版社,69.99,Abraham Silberschatz,计算机,90
2014,《C语言程序设计》,机械工业出版社,49.99,Brian W. Kernighan,计算机,120
2015,《高等数学》,清华大学出版社,29.99,同济大学数学系,数学,150
2016,《线性代数》,高等教育出版社,39.99,Howard Anton,数学,100
2017,《微积分》,清华大学出版社,59.99,同济大学数学系,数学,120
2018,《物理学概论》,科学出版社,45.99,David Halliday,物理,80
2019,《化学原理》,高等教育出版社,49.99,Peter Atkins,化学,100
2020,《生物学导论》,人民邮电出版社,35.99,Neil A. Campbell,生物,110
9999,test,test,55.00,test,test,60
